"Item","Description","Quantity On Hand","Lot Number"
"XMANG","Angelica",0,
"XMBC","Copaiba Balsam",0,
"XMCAN","Cannabis/Hemp essential oil",0,
"XMCARS","Carrot Seed",0,
"XMCHGC","German Chamomile CO2",524.66,"FLB017CHGC"
"XMCHGS","German Chamomile SD",264.77,"LID277CHGS"
"XMCSU","Clary Sage",0,
"XMCW","Wild Cedarwood",5347.59,"SAG177CW"
"XMELE","Elemi",2639.14,"PEG067ELE"
"XMEUR","Eucalyptus Radiata (narrow leaf)",6.5,"SAG086EUR"
"XMFCC","Frankincense Carteri CO2",0,
"XMFIRD","Douglas Fir",0,
"XMGR","Rose Geranium",0,
"XMGSA","Geranium S.A.",0,
"XMJG","Jasmine Absolute (Grandiflorum)",0,
"XMLEM","Lemon, org",0,
"XMLW","Wild Lavender",0,
"XMMAR","Sweet Marjoram",0,
"XMMYR","Wild Myrrh",0,
"XMNER","Neroli",0,
"XMOT","Oregano",0,
"XMOW","Wild Sweet Orange",0,
"XMPALO","Palo Santo",242.54,"ECJ105PALO"
"XMPLA","Plai",0,
"XMSAU","Wild Australian Sandalwood",0,
"XMSB","Sea Buckthorn",0,
"XMSI","Sandalwood, Indian",0,
"XMSNC","Sandalwood, New Caledonian",960.21,"JOI156SNC"
"XMSRH","Sandalwood, Royal Hawaiian",0,
"XMTANG","Tangerine",0,
"XMTANS","Blue Tansy",0,
"XMTL","Thyme",0,
"XMV12NO","Vanilla CO2, Non Organic",0,
"XMYYC","Ylang Ylang Complete",0,
