"Item","Description","Quantity On Hand","Lot Number"
"10pads","Cold Air Diffuser Replacement Pads - 10",30,
"30-case-blk","30 Bottle Essential Oil Carrying Case, Black/Grey",9,
"30-case-blue","30 Bottle Essential Oil Carrying Case, Blue",7,
"30-case-pur","30 Bottle Essential Oil Carrying Case, Purple",3,
"30-case-pur-grn","30 Bottle Essential Oil Carrying Case, Purple/Green",27,
"64-case-blk","64 Bottle Essential Oil Carrying Case, Black",6,
"64-case-blue","64 Bottle Essential Oil Carrying Case, Navy Blue",1,
"64-case-pur","64 Bottle Essential Oil Carrying Case, Purple",2,
"addiction-free-naturally","Addiction-Free Naturally",6,
"advanced-bach-flowers","Advanced Bach Flower Therapy",1,
"advancedaromatherapy","Advanced Aromatherapy",-1,
"an-hb-005","Helichrysum Balkans 5mL",-15,
"aroma-healthy-child","Aromatherapy for the Healthy Child",1,
"aromatherapy-complete","The Complete Book of Aromatherapy and Essential Oils",4,
"aromatherapy-healing","Aromatherapy for Healing the Spirit",4,
"aromavsmrsa","Aromatherapy vs MRSA (Book)",0,
"carpads","Car Diffuser Pads (10 pack)",27,
"completearoma","The Complete Guide to Aromatherapy",5,
"Cord","Power Cord for Diffuser",36,
"Custom-Product","Custom Product",-2,
"dcb-2","1.75oz Disc-Cap Bottle",58,
"di00001","Aromatherapy Car Diffuser",27,
"di00003","Aromatherapy Plug-in Room Diffuser",26,
"diffusBulbReplacement","Glass Bulb - Wood Diffuser",-2,
"diffuserglassgeo","Glass Assembly (Bulb + Silencer) - Wood (Geometric) Diffuser",39,
"diffuserglassround","Glass Assembly (Bulb + Silencer) - Wood (Round) Diffuser",29,
"diffussilencerG","Silencer - Wood (Geometric) Diffuser",79,
"diffussilencerR","Silencer - Wood (Round) Diffuser",12,
"ditimer","Digital Diffuser Timer",36,
"encyclopedia-aroma","Encyclopedia of Aromatherapy",5,
"fe01001-07m","Aloe Vera Flower Essence 7.5ml",1,
"fe01001-30m","Aloe Vera Flower Essence 30ml",1,
"fe01003-30m","Angel's Trumpet Flower Essence 30ml",1,
"fe01004-30m","Angelica Flower Essence 30ml",2,
"fe01005-30m","Arnica Flower Essence 30ml",1,
"fe01009-30m","Black-Eyed Susan Flower Essence 30ml",2,
"fe01015-07m","California Pitcher Plant Flower Essence 7.5ml",3,
"fe01015-30m","California Pitcher Plant Flower Essence 30ml",6,
"fe01016-07m","California Poppy Flower Essence 7.5ml",2,
"fe01016-30m","California Poppy  Flower Essence 30ml",4,
"fe01017-07m","California Wild Rose Flower Essence 7.5ml",2,
"fe01017-30m","California Wild Rose Flower Essence 30ml",3,
"fe01018-07m","Calla Lily Flower Essence 7.5ml",2,
"fe01018-30m","Calla Lily Flower Essence 30ml",3,
"fe01019-07m","Canyon Dudleya Flower Essence 7.5ml",5,
"fe01019-30m","Canyon Dudleya Flower Essence 30ml",5,
"fe01022-07m","Chaparral Flower Essence 7.5ml",1,
"fe01022-30m","Chaparral Flower Essence 30ml",2,
